,0
LPI Score,0.7763637919722343
Logistics competence Score,0.1526012650332302
Tracking & tracing Score,0.03939285709106252
Infrastructure Score,0.011899681496970196
Customs Score,0.011654061070218625
Timeliness Score,0.006725545426050839
International shipments Score,0.000704442925962571
Year,0.0006583549842708234
