Feature,Importance_Mean,Importance_Std
LPI Score,0.8097538575128845,0.06297591521204976
Logistics competence Score,0.11150450555578346,0.0058311982124385825
Tracking & tracing Score,0.014398723926585536,0.000794419780104879
Timeliness Score,0.005706307991497587,0.0004987312277487439
Customs Score,0.0008590002068732024,0.00011533398354834966
Infrastructure Score,0.0006621938337872539,7.225311190956816e-05
Year,0.0002904217298114557,2.7800845549696373e-05
International shipments Score,0.00026265228714819806,3.59643793634701e-05
