Country,Year,LPI Score,Customs Score,Infrastructure Score,International shipments Score,Logistics competence Score,Tracking & tracing Score,Timeliness Score,LMEI
Germany,2018,4.2,4.09,4.37,3.86,4.31,4.24,4.39,4.313333333333333
India,2018,3.18,2.96,2.91,3.21,3.13,3.32,3.5,3.3166666666666664
Indonesia,2018,3.15,2.67,2.89,3.23,3.1,3.3,3.67,3.356666666666667
Japan,2018,4.03,3.99,4.25,3.59,4.09,4.05,4.25,4.13
Mexico,2018,3.05,2.77,2.85,3.1,3.02,3.0,3.53,3.183333333333333
Nigeria,2018,2.53,1.97,2.56,2.52,2.4,2.68,3.07,2.716666666666667
Singapore,2018,4.0,3.89,4.06,3.58,4.1,4.08,4.32,4.166666666666667
South Africa,2018,3.38,3.17,3.19,3.51,3.19,3.41,3.74,3.4466666666666668
United Kingdom,2018,3.99,3.77,4.03,3.67,4.05,4.11,4.33,4.163333333333334
United States,2018,3.89,3.78,4.05,3.51,3.87,4.09,4.08,4.013333333333333
Vietnam,2018,3.27,2.95,3.01,3.16,3.4,3.45,3.67,3.5066666666666664
Brazil,2023,3.2,2.9,3.2,2.9,3.3,3.2,3.5,3.3333333333333335
Canada,2023,4.0,4.0,4.3,3.6,4.2,4.1,4.1,4.133333333333333
China,2023,3.7,3.3,4.0,3.6,3.8,3.8,3.7,3.766666666666667
Germany,2023,4.1,3.9,4.3,3.7,4.2,4.2,4.1,4.166666666666667
India,2023,3.4,3.0,3.2,3.5,3.5,3.4,3.6,3.5
Indonesia,2023,3.0,2.8,2.9,3.0,2.9,3.0,3.3,3.0666666666666664
Japan,2023,3.9,3.9,4.2,3.3,4.1,4.0,4.0,4.033333333333333
Mexico,2023,2.9,2.5,2.8,2.8,3.0,3.1,3.5,3.1999999999999997
Nigeria,2023,2.6,2.4,2.4,2.5,2.3,2.7,3.1,2.7000000000000006
Singapore,2023,4.3,4.2,4.6,4.0,4.4,4.4,4.3,4.366666666666666
South Africa,2023,3.7,3.3,3.6,3.6,3.8,3.8,3.8,3.7999999999999994
United Kingdom,2023,3.7,3.5,3.7,3.5,3.7,4.0,3.7,3.8000000000000003
United States,2023,3.8,3.7,3.9,3.4,3.9,4.2,3.8,3.966666666666667
Vietnam,2023,3.3,3.1,3.2,3.3,3.2,3.4,3.3,3.2999999999999994
